infobulle,nom,ligne,etat,type,en_service,couvert,commune,index_right,year,reg_code,reg_name,dep_code,dep_name,arrdep_code,arrdep_name,ze2020_code,ze2020_name,bv2012_code,bv2012_name,epci_code,epci_name,ept_code,ept_name,com_code,com_name,com_arm_cod,com_arm_nam,iris_code,iris_name,iris_name_u,iris_name_l,iris_area_c,iris_type,iris_grd_qu,iris_in_ctu,ze2010_code,ze2010_name,geometry,Longitude,Latitude
"BALMA GRAMONT
Ligne A",BALMA GRAMONT,A,Existant,Metro,2003.0,Souterrain,BALMA,48455,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31044'],['Balma'],['31044'],['Balma'],['310440108'],"[""Zone d'ActivitÃ©s Nord""]",ZONE D'ACTIVITÃS NORD,zone d'activitÃ©s nord,FXX,iris d'activitÃ©,Balma,Non,,,POINT (1.48276920755234 43.62911025893581),1.48276920755234,43.62911025893581
"FACULTE DE PHARMACIE
Ligne B",FACULTE DE PHARMACIE,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,47431,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315554801'],['Paul Sabatier'],PAUL SABATIER,paul sabatier,FXX,iris d'habitat,Rangueil-C.H.U.-FacultÃ©s,Non,,,POINT (1.46449293753505 43.568177080094074),1.46449293753505,43.568177080094074
"JEAN JAURES
Ligne B",JEAN JAURES,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,47424,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315550302'],['Wilson'],WILSON,wilson,FXX,iris d'habitat,Saint-Georges,Non,,,POINT (1.448724525424428 43.6057192069732),1.448724525424428,43.6057192069732
"LA VACHE
Ligne B",LA VACHE,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,1530,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315553703'],['La Salade'],LA SALADE,la salade,FXX,iris d'habitat,BarriÃ¨re-de-Paris,Non,,,POINT (1.435735163501309 43.633849223113906),1.435735163501309,43.633849223113906
"SAINT MARTIN DU TOUCH
Ligne C",SAINT MARTIN DU TOUCH,C,Existant,Train,1993.0,AÃ©rien,TOULOUSE,11949,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315555901'],['Fleurance'],FLEURANCE,fleurance,FXX,iris d'habitat,Saint-Martin-du-Touch,Non,,,POINT (1.371823024521742 43.59977654159722),1.371823024521742,43.59977654159722
"ARENES SAINT-CYPRIEN
Ligne C",ARENES SAINT-CYPRIEN,C,Existant,Train,1993.0,AÃ©rien,TOULOUSE,17988,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315553402'],['Hippodrome'],HIPPODROME,hippodrome,FXX,iris d'habitat,La CÃ©piÃ¨re,Non,,,POINT (1.417375844087288 43.59391847195766),1.417375844087288,43.59391847195766
"BASSO CAMBO
Ligne A",BASSO CAMBO,A,Existant,Metro,1993.0,AÃ©rien,TOULOUSE,3259,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315555301'],['Ãdouard BouillÃ¨res'],ÃDOUARD BOUILLÃRES,Ã©douard bouillÃ¨res,FXX,iris d'habitat,Reynerie,Non,,,POINT (1.392274626472962 43.57014083143152),1.392274626472962,43.57014083143152
"REYNERIE
Ligne A",REYNERIE,A,Existant,Metro,1993.0,Souterrain,TOULOUSE,3259,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315555301'],['Ãdouard BouillÃ¨res'],ÃDOUARD BOUILLÃRES,Ã©douard bouillÃ¨res,FXX,iris d'habitat,Reynerie,Non,,,POINT (1.401729814806937 43.57092682511347),1.401729814806937,43.57092682511347
"PATTE D'OIE
Ligne A",PATTE D'OIE,A,Existant,Metro,1993.0,Souterrain,TOULOUSE,5004,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315551602'],['Ravelin'],RAVELIN,ravelin,FXX,iris d'habitat,Patte d'Oie,Non,,,POINT (1.423026770070989 43.59640440141129),1.423026770070989,43.59640440141129
"MARENGO - SNCF
Ligne A",MARENGO - SNCF,A,Existant,Metro,1993.0,Souterrain,TOULOUSE,3257,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315552004'],['10 Avril'],10 AVRIL,10 avril,FXX,iris d'habitat,Marengo-Jolimont,Non,,,POINT (1.455103020581427 43.610757512552),1.455103020581427,43.610757512552
"ROSERAIE
Ligne A",ROSERAIE,A,Existant,Metro,2003.0,Souterrain,TOULOUSE,29099,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315554301'],['Louis Plana'],LOUIS PLANA,louis plana,FXX,iris d'habitat,Juncasse-Argoulets,Non,,,POINT (1.469620703560822 43.619979059308136),1.469620703560822,43.619979059308136
"EMPALOT
Ligne B",EMPALOT,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,20865,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315552702'],['Daste'],DASTE,daste,FXX,iris d'habitat,Empalot,Non,,,POINT (1.442080206589512 43.579803867612135),1.442080206589512,43.579803867612135
"TOEC
Ligne C",TOEC,C,Existant,Train,1993.0,AÃ©rien,TOULOUSE,35631,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315553504'],['Cartoucherie'],CARTOUCHERIE,cartoucherie,FXX,iris d'habitat,Casselardit,Non,,,POINT (1.401452189552739 43.595583052358116),1.401452189552739,43.595583052358116
