id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,valeur_fonciere,latitude,longitude,nombre_lots,Prix_m2,Year,Month,prix_m2_moy_surf_habit,prix_m2_moy_terrain
2021-140609,2021-01-21,2.0,13204,0.0,85.0,3.0,173000.0,43.300784,5.400451,2,2035.2941176470588,2021,1,2721.7173060895752,12027.867705044877
2021-140610,2021-02-02,2.0,13204,0.0,32.0,1.0,82000.0,43.310774,5.395525,1,2562.5,2021,2,2721.7173060895752,12027.867705044877
2021-140614,2021-02-05,2.0,13204,0.0,82.0,4.0,169550.0,43.30682,5.409423,2,2067.682926829268,2021,2,2721.7173060895752,12027.867705044877
2021-140616,2021-01-20,2.0,13204,0.0,73.0,3.0,175000.0,43.311538,5.403286,2,2397.2602739726026,2021,1,2721.7173060895752,12027.867705044877
2021-140617,2021-01-20,2.0,13204,0.0,55.0,3.0,119000.0,43.314079,5.400953,2,2163.6363636363635,2021,1,2721.7173060895752,12027.867705044877
2021-140620,2021-02-11,2.0,13204,0.0,32.0,1.0,83000.0,43.30257,5.401293,1,2593.75,2021,2,2721.7173060895752,12027.867705044877
2021-140628,2021-02-02,2.0,13204,0.0,66.0,4.0,145000.0,43.30811,5.40587,2,2196.969696969697,2021,2,2721.7173060895752,12027.867705044877
2021-140630,2021-02-08,2.0,13204,0.0,65.0,4.0,143000.0,43.310396,5.400361,2,2200.0,2021,2,2721.7173060895752,12027.867705044877
2021-140634,2021-02-11,2.0,13204,0.0,54.0,2.0,100000.0,43.309953,5.398384,2,1851.851851851852,2021,2,2721.7173060895752,12027.867705044877
2021-140649,2021-02-12,2.0,13204,0.0,22.0,1.0,100000.0,43.310998,5.394505,1,4545.454545454545,2021,2,2721.7173060895752,12027.867705044877
2021-140652,2021-02-11,2.0,13204,0.0,54.0,2.0,156825.0,43.300556,5.400252,1,2904.1666666666665,2021,2,2721.7173060895752,12027.867705044877
2021-140660,2021-02-12,2.0,13204,0.0,18.0,1.0,72500.0,43.302327,5.394551,1,4027.777777777778,2021,2,2721.7173060895752,12027.867705044877
2021-140664,2021-02-12,2.0,13204,0.0,50.0,2.0,103000.0,43.308629,5.400656,1,2060.0,2021,2,2721.7173060895752,12027.867705044877
